Date,Total,Mon,Tue,Wed,Thu,Fri,Sat,Sun
2012-10-03,7042.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-10-04,6950.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-10-05,6296.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-10-06,4012.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-10-07,4284.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-10-08,7074.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-09,7002.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-10-10,6470.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-10-11,6094.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-10-12,4022.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-10-13,1532.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-10-14,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-10-15,4546.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-16,6072.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-10-17,6486.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-10-18,5846.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-10-19,3954.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-10-20,2136.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-10-21,1978.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-10-22,4258.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-23,5000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-10-24,4858.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-10-25,5426.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-10-26,4146.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-10-27,1062.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-10-28,2124.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-10-29,4434.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-30,3470.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-10-31,3420.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-11-01,4182.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-11-02,4956.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-11-03,1904.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-11-04,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-11-05,5620.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-06,4986.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-11-07,5438.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-11-08,5382.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-11-09,4812.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-11-10,2538.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-11-11,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2012-11-12,3262.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-13,4174.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-11-14,5200.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2012-11-15,5040.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012-11-16,4012.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2012-11-17,1280.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2012-11-18,784.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
